item	owner	hash
Sword of Truth	1	12345678901234567
Magic Wand	14	23456789012345678
Golden Shield	3	34567890123456789
Healing Potion	8	45678901234567890
Silver Necklace	2	56789012345678901
Hunting Bow	7	67890123456789012
Blacksmith Hammer	3	78901234567890123
Sewing Kit	4	89012345678901234
Fishing Rod	9	90123456789012345
Ancient Scroll	10	1234567890123456
Steel Helmet	11	2345678901234567
Loom	12	3456789012345678
Pickaxe	13	4567890123456789
Glass Vial	14	5678901234567890
Shepherd's Crook	15	6789012345678901
Herb Pouch	16	7890123456789012
Brewing Kettle	17	8901234567890123
Clay Pot	18	9012345678901234
Lute	19	123456789012345678
Anvil	20	234567890123456789
